epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.407,1.60511,3.15834,1.69407,0.42042,0.29996,0.25993,0.08824,1.92472,3.02256,1.83084,0.000366997,0.000366997,0.000366997
2,291.532,1.60268,2.23636,1.68267,0.32199,0.38094,0.29867,0.12139,2.03345,2.41701,1.91625,0.000730031,0.000730031,0.000730031
3,433.267,1.5977,1.97097,1.66098,0.2243,0.28251,0.21662,0.08709,2.15365,2.4326,1.94321,0.00108573,0.00108573,0.00108573
4,568.135,1.62281,1.83972,1.68234,0.35428,0.38094,0.34341,0.12916,2.11461,2.03174,1.89778,0.001078,0.001078,0.001078
5,727.184,1.59588,1.70274,1.64707,0.2915,0.44821,0.36176,0.14382,1.99784,2.32842,1.83122,0.001067,0.001067,0.001067
6,892.518,1.55202,1.61625,1.61957,0.49226,0.48232,0.46375,0.21333,1.96136,1.77993,1.844,0.00105601,0.00105601,0.00105601
7,1063.71,1.5467,1.57597,1.61195,0.4759,0.45909,0.42815,0.18511,2.05009,1.75323,1.7831,0.00104501,0.00104501,0.00104501
8,1206.22,1.51277,1.49148,1.59388,0.57708,0.58675,0.59502,0.26833,1.88796,1.43797,1.63089,0.00103401,0.00103401,0.00103401
9,1343.31,1.49785,1.4501,1.57835,0.55001,0.51648,0.4662,0.22758,1.91457,1.84751,1.76746,0.00102301,0.00102301,0.00102301
10,1464.88,1.47824,1.42395,1.57724,0.62992,0.53671,0.60683,0.28284,1.82617,1.50678,1.6567,0.00101201,0.00101201,0.00101201
11,1604.28,1.45678,1.36347,1.5492,0.75796,0.4712,0.58917,0.30445,1.79074,1.34988,1.57854,0.00100101,0.00100101,0.00100101
12,1743.4,1.45266,1.37518,1.53748,0.59069,0.57959,0.61386,0.30465,1.84948,1.32212,1.60882,0.000990012,0.000990012,0.000990012
13,1890.71,1.43759,1.31819,1.51177,0.68078,0.55105,0.6203,0.31166,1.75054,1.29861,1.53422,0.000979013,0.000979013,0.000979013
14,2026.97,1.43219,1.30588,1.52462,0.58116,0.60599,0.62507,0.33089,1.76138,1.27523,1.58143,0.000968014,0.000968014,0.000968014
15,2168.05,1.41062,1.26943,1.50531,0.66833,0.60158,0.61178,0.32846,1.75888,1.23956,1.50836,0.000957015,0.000957015,0.000957015
16,2313.62,1.40088,1.24524,1.49664,0.73252,0.5485,0.568,0.26539,1.92076,1.35747,1.62054,0.000946016,0.000946016,0.000946016
17,2461.19,1.38497,1.22362,1.48152,0.62407,0.62662,0.6803,0.35123,1.76451,1.17415,1.5305,0.000935018,0.000935018,0.000935018
18,2619.21,1.3781,1.22699,1.48017,0.59964,0.60187,0.60148,0.30561,1.80354,1.35713,1.60933,0.000924019,0.000924019,0.000924019
19,2802.66,1.3666,1.21518,1.47233,0.59879,0.66263,0.65663,0.34775,1.76736,1.16803,1.53989,0.00091302,0.00091302,0.00091302
20,2965.79,1.34787,1.17131,1.46432,0.66326,0.64807,0.68783,0.35531,1.74498,1.1147,1.51724,0.000902021,0.000902021,0.000902021
21,3139.41,1.36094,1.18565,1.46667,0.69491,0.5355,0.64479,0.33596,1.70672,1.30204,1.51481,0.000891022,0.000891022,0.000891022
22,3319.99,1.34862,1.16833,1.45863,0.66309,0.61796,0.63373,0.33226,1.7587,1.21186,1.54196,0.000880023,0.000880023,0.000880023
23,3484.52,1.34578,1.1478,1.46223,0.72094,0.6413,0.66669,0.36582,1.72681,1.12215,1.49752,0.000869024,0.000869024,0.000869024
24,3627.87,1.35617,1.14346,1.46183,0.67118,0.64855,0.63168,0.34193,1.7389,1.18323,1.5429,0.000858025,0.000858025,0.000858025
25,3766.42,1.34811,1.14832,1.45622,0.7374,0.62208,0.68774,0.36974,1.64836,1.0835,1.48005,0.000847026,0.000847026,0.000847026
26,3910.71,1.32135,1.12014,1.44492,0.64959,0.64392,0.673,0.374,1.6682,1.09984,1.50285,0.000836027,0.000836027,0.000836027
27,4045.17,1.31506,1.08867,1.4371,0.6823,0.61925,0.6801,0.3777,1.70103,1.03922,1.48364,0.000825029,0.000825029,0.000825029
28,4186.75,1.31441,1.1061,1.43974,0.70391,0.66465,0.72796,0.38259,1.62586,1.05646,1.46187,0.00081403,0.00081403,0.00081403
29,4324.56,1.29076,1.08063,1.4212,0.7273,0.64997,0.70669,0.38358,1.67932,1.0578,1.46611,0.000803031,0.000803031,0.000803031
30,4469.25,1.30121,1.07258,1.41505,0.62164,0.65428,0.68083,0.37614,1.68086,1.08519,1.49058,0.000792032,0.000792032,0.000792032
31,4593.81,1.28411,1.05747,1.41207,0.65291,0.66496,0.6983,0.3811,1.64074,1.03053,1.45083,0.000781033,0.000781033,0.000781033
32,4742.1,1.28175,1.04863,1.4153,0.78736,0.6299,0.72132,0.40278,1.64955,1.00986,1.42903,0.000770034,0.000770034,0.000770034
33,4889.18,1.2916,1.04153,1.4184,0.64493,0.72689,0.70616,0.38081,1.65254,1.02893,1.48424,0.000759035,0.000759035,0.000759035
34,5036.28,1.27781,1.02801,1.40423,0.65009,0.68598,0.68159,0.38735,1.65046,1.07,1.46,0.000748036,0.000748036,0.000748036
35,5172.86,1.25536,1.00231,1.38957,0.765,0.62576,0.71095,0.40263,1.61048,1.00521,1.44296,0.000737037,0.000737037,0.000737037
36,5314.2,1.27288,1.03103,1.40046,0.59599,0.66888,0.66751,0.35858,1.73052,1.09063,1.49068,0.000726038,0.000726038,0.000726038
37,5451.86,1.24913,0.99889,1.39258,0.73566,0.66928,0.74353,0.41207,1.61714,0.98219,1.43884,0.00071504,0.00071504,0.00071504
38,5581.3,1.26647,1.01118,1.39265,0.69867,0.68301,0.73256,0.41598,1.60241,0.98628,1.41491,0.000704041,0.000704041,0.000704041
39,5716.26,1.24309,0.99723,1.39293,0.70201,0.61986,0.65928,0.37105,1.62548,1.1431,1.42827,0.000693042,0.000693042,0.000693042
40,5862.27,1.2379,0.97662,1.38491,0.67734,0.7206,0.73639,0.41045,1.6602,0.98086,1.45726,0.000682043,0.000682043,0.000682043
41,6002.68,1.24084,0.96541,1.37611,0.70748,0.74988,0.73606,0.40337,1.61097,0.9786,1.44605,0.000671044,0.000671044,0.000671044
42,6149.97,1.25107,0.98668,1.37415,0.69521,0.73711,0.76655,0.43247,1.61267,0.952,1.41483,0.000660045,0.000660045,0.000660045
43,6292.38,1.22536,0.97118,1.36612,0.70831,0.72237,0.73768,0.41309,1.6011,0.93835,1.42745,0.000649046,0.000649046,0.000649046
44,6465.93,1.21968,0.94134,1.35638,0.7299,0.69139,0.74549,0.4394,1.56306,0.94717,1.38603,0.000638047,0.000638047,0.000638047
45,6649.53,1.2061,0.94917,1.35716,0.68493,0.73237,0.74404,0.41215,1.60783,0.94451,1.42115,0.000627048,0.000627048,0.000627048
46,6839.41,1.2102,0.93104,1.356,0.73702,0.68431,0.74111,0.43919,1.53132,0.90957,1.36144,0.000616049,0.000616049,0.000616049
47,7025.73,1.20621,0.93306,1.35304,0.76666,0.66741,0.74027,0.41149,1.60726,0.95647,1.41645,0.000605051,0.000605051,0.000605051
48,7211.02,1.22248,0.92637,1.34714,0.64379,0.69636,0.71356,0.40319,1.59216,0.96425,1.41138,0.000594052,0.000594052,0.000594052
49,7391.57,1.20144,0.91728,1.3477,0.79682,0.71501,0.76956,0.45288,1.52974,0.88076,1.36704,0.000583053,0.000583053,0.000583053
50,7580,1.19723,0.91035,1.34468,0.73604,0.6923,0.73969,0.43394,1.56434,0.91593,1.38564,0.000572054,0.000572054,0.000572054
51,7763.11,1.19638,0.91236,1.34015,0.69342,0.74138,0.74539,0.4302,1.54819,0.94793,1.37389,0.000561055,0.000561055,0.000561055
52,7939.9,1.1773,0.89836,1.32436,0.7555,0.69339,0.74884,0.42792,1.57664,0.93835,1.41768,0.000550056,0.000550056,0.000550056
53,8119.91,1.17183,0.89102,1.32289,0.70737,0.706,0.73599,0.42595,1.55323,0.93339,1.36938,0.000539057,0.000539057,0.000539057
54,8288.68,1.18196,0.8868,1.33507,0.73334,0.69825,0.74709,0.41769,1.61028,0.935,1.40826,0.000528058,0.000528058,0.000528058
55,8469.03,1.17064,0.8842,1.32047,0.73558,0.68579,0.75555,0.43646,1.57987,0.90088,1.42642,0.000517059,0.000517059,0.000517059
56,8639.34,1.1804,0.88767,1.33378,0.71264,0.74467,0.76932,0.45646,1.5544,0.88311,1.39888,0.00050606,0.00050606,0.00050606
57,8820.69,1.16302,0.87402,1.32867,0.69623,0.6888,0.71797,0.40864,1.57067,0.93971,1.3928,0.000495062,0.000495062,0.000495062
58,8960.65,1.16276,0.86658,1.31474,0.80555,0.68751,0.75781,0.45683,1.50673,0.86527,1.35429,0.000484063,0.000484063,0.000484063
59,9088.49,1.16116,0.86024,1.31955,0.81789,0.63785,0.73345,0.44434,1.55858,0.92043,1.37996,0.000473064,0.000473064,0.000473064
60,9218.31,1.1555,0.85547,1.31487,0.74046,0.74056,0.76002,0.43812,1.60496,0.86076,1.43751,0.000462065,0.000462065,0.000462065
61,9382.02,1.14892,0.85506,1.30611,0.75854,0.70853,0.77051,0.44821,1.56953,0.87368,1.38517,0.000451066,0.000451066,0.000451066
62,9573.42,1.14957,0.85305,1.30665,0.69353,0.726,0.74646,0.43265,1.61897,0.89724,1.45212,0.000440067,0.000440067,0.000440067
63,9755.22,1.13804,0.85109,1.30422,0.79016,0.74581,0.78852,0.45605,1.56727,0.83125,1.38873,0.000429068,0.000429068,0.000429068
64,9929.38,1.1265,0.82219,1.30073,0.75425,0.73877,0.77961,0.44985,1.5612,0.87404,1.38921,0.000418069,0.000418069,0.000418069
65,10109.5,1.15432,0.84345,1.31193,0.79702,0.73685,0.78455,0.44426,1.57563,0.86317,1.39656,0.00040707,0.00040707,0.00040707
66,10276.7,1.1303,0.80719,1.29603,0.82552,0.72022,0.78318,0.47065,1.49819,0.84394,1.34215,0.000396071,0.000396071,0.000396071
67,10452.7,1.12927,0.8298,1.28977,0.77737,0.72071,0.79396,0.46736,1.53301,0.82738,1.36068,0.000385073,0.000385073,0.000385073
68,10640.7,1.11555,0.81025,1.28639,0.8478,0.6822,0.7696,0.46205,1.52184,0.8529,1.34505,0.000374074,0.000374074,0.000374074
69,10816.6,1.12113,0.80458,1.28604,0.80237,0.72163,0.78103,0.45504,1.55825,0.86582,1.38021,0.000363075,0.000363075,0.000363075
70,10988.5,1.08954,0.78256,1.27474,0.80364,0.72839,0.77112,0.46401,1.52206,0.84441,1.34906,0.000352076,0.000352076,0.000352076
71,11120.4,1.11587,0.79337,1.28038,0.84251,0.71289,0.77515,0.45742,1.51722,0.85305,1.35046,0.000341077,0.000341077,0.000341077
72,11262.9,1.10388,0.79114,1.27413,0.8394,0.75679,0.80142,0.47551,1.52308,0.82191,1.35667,0.000330078,0.000330078,0.000330078
73,11415.6,1.09438,0.78074,1.27955,0.81364,0.72785,0.78439,0.47149,1.54195,0.82408,1.37071,0.000319079,0.000319079,0.000319079
74,11556.2,1.07902,0.77702,1.27494,0.81158,0.7179,0.76837,0.46316,1.5295,0.86428,1.36406,0.00030808,0.00030808,0.00030808
75,11687.2,1.08268,0.77952,1.27117,0.81061,0.73767,0.79269,0.48483,1.51717,0.82392,1.34464,0.000297081,0.000297081,0.000297081
76,11817,1.06848,0.76778,1.26039,0.80138,0.74433,0.78286,0.47716,1.52979,0.83024,1.35616,0.000286083,0.000286083,0.000286083
77,11955,1.08354,0.76849,1.26722,0.8216,0.71811,0.79937,0.48225,1.49346,0.81089,1.3351,0.000275084,0.000275084,0.000275084
78,12103.3,1.07514,0.76069,1.26349,0.8201,0.74361,0.79461,0.47998,1.53344,0.81528,1.3534,0.000264085,0.000264085,0.000264085
79,12303.7,1.07019,0.75751,1.25421,0.8346,0.74689,0.81252,0.49241,1.50364,0.80235,1.33823,0.000253086,0.000253086,0.000253086
80,12488.8,1.06108,0.74634,1.26119,0.80198,0.74152,0.78918,0.47287,1.53201,0.81932,1.35755,0.000242087,0.000242087,0.000242087
81,12675.3,1.06261,0.75134,1.24816,0.82078,0.7471,0.79899,0.48392,1.49348,0.79686,1.33528,0.000231088,0.000231088,0.000231088
82,12848.9,1.06506,0.73399,1.25023,0.89876,0.69506,0.8042,0.49095,1.47861,0.80863,1.32313,0.000220089,0.000220089,0.000220089
83,13023.7,1.04638,0.73107,1.23995,0.86321,0.71859,0.80565,0.49022,1.4908,0.81411,1.33387,0.00020909,0.00020909,0.00020909
84,13178.7,1.04349,0.74327,1.24768,0.85795,0.76608,0.81317,0.48253,1.5159,0.80329,1.36283,0.000198091,0.000198091,0.000198091
85,13314.6,1.05036,0.73602,1.23919,0.76976,0.77447,0.7996,0.49336,1.49197,0.78928,1.33074,0.000187092,0.000187092,0.000187092
86,13453.4,1.0448,0.72779,1.23769,0.82876,0.77057,0.81957,0.49206,1.49703,0.78552,1.34553,0.000176094,0.000176094,0.000176094
87,13583.2,1.03656,0.72791,1.22967,0.82564,0.77829,0.80387,0.48819,1.51979,0.79401,1.3578,0.000165095,0.000165095,0.000165095
88,13756.6,1.03728,0.72238,1.24082,0.81614,0.7653,0.79007,0.48527,1.52183,0.81557,1.36309,0.000154096,0.000154096,0.000154096
89,13936.9,1.02233,0.71432,1.22776,0.78638,0.77768,0.79557,0.47726,1.52079,0.80498,1.35872,0.000143097,0.000143097,0.000143097
90,14115.6,1.02658,0.71656,1.23427,0.80307,0.77004,0.79537,0.48362,1.50727,0.81401,1.3454,0.000132098,0.000132098,0.000132098
91,14247.1,1.1015,0.64121,1.26533,0.80772,0.73917,0.77721,0.47215,1.50995,0.81705,1.3486,0.000121099,0.000121099,0.000121099
92,14370.8,1.06274,0.60728,1.24482,0.81038,0.7301,0.77138,0.47224,1.51606,0.81936,1.35107,0.0001101,0.0001101,0.0001101
93,14507.6,1.07655,0.61608,1.25338,0.80174,0.75078,0.77916,0.47915,1.50705,0.81216,1.34955,9.91012e-05,9.91012e-05,9.91012e-05
94,14638.5,1.05239,0.60629,1.24027,0.7717,0.73495,0.76868,0.48164,1.51279,0.8037,1.35335,8.81023e-05,8.81023e-05,8.81023e-05
95,14765.5,1.04532,0.59367,1.2354,0.80211,0.72454,0.77591,0.4856,1.51237,0.79384,1.36037,7.71034e-05,7.71034e-05,7.71034e-05
96,14936.2,1.03443,0.58686,1.22629,0.80299,0.72334,0.77489,0.48153,1.4985,0.80681,1.34648,6.61045e-05,6.61045e-05,6.61045e-05
97,15112.1,1.04191,0.58696,1.22232,0.81286,0.73102,0.78099,0.48704,1.49852,0.80786,1.35153,5.51056e-05,5.51056e-05,5.51056e-05
98,15297.2,1.02043,0.58272,1.21781,0.80677,0.72885,0.7722,0.48133,1.49996,0.80853,1.35618,4.41067e-05,4.41067e-05,4.41067e-05
99,15462.4,1.02297,0.57483,1.21943,0.82089,0.73575,0.77849,0.48386,1.49408,0.80838,1.34968,3.31078e-05,3.31078e-05,3.31078e-05
100,15631.4,1.02301,0.57548,1.21746,0.82719,0.72517,0.77629,0.48176,1.49802,0.8126,1.35033,2.21089e-05,2.21089e-05,2.21089e-05
